codigo;articulo;unidades;venta
785;"KATSUSANDO";782;48746
429;"APERITIVO";10467;45604.35
787;"FIDEUÁ MERO";816.5;37116.4
543;"SASHIMI VENTRESCA";1035;31616.9
956;"Wagyu 400 gr";245;28035.5
19;"BUÑUELOS BOGAVANTE";880.5;26910.4
195;"AGUA";3883;26179.31
667;"SANGRIA CAVA";495.5;25747.25
21;"CALAMAR ANDALUZA";974.5;24882
784;"STEAK TARTAR WAGYU";521;24350.1
1012;"GAMBA ROJA BRASA";70.185;21796.16
601;"POLLO MARINADO";571;21143.2
16;"TARTAR DE TOMATE";991;20388.9
14;"ENSALADILLA CON VENTRESCA";899.5;20293.2
1164;"CEVICHE SIRVIA CON CHICHARRON";762;19974.8
37;"PATATAS FRITAS";1694;19602
697;"MEJILLONES CHILLI CRAB";729;18176.6
12;"GILDAS PESCADO AZUL";1480;16947.9
196;"Agua gas";2385;15736
1525;"MATRIMONIO BOQUERON ANCHOA";595.2;15278.2
786;"VENTRESCA  BRASA A LA PIMIENTA";242;15010.5
216;"CAÑA";2588;14145.3
39;"TOMATES ALIÑADOS";1037;13666.8
660;"LUBINA (seabass)";86.55;13552.5
323;"TARTAR DE BERENJENA";637;11629.9
1167;"BONIATO ASADO SOBRASADA";759.5;11585.6
18;"DADOS DE MERLUZA";468.5;11181.3
1498;"LANGOSTA AJILLO";128.4;10934
1125;"GAMBA BLANCA HUELVA";476.73;10530.72
43;"ARROZ CON LECHE";716.75;10402.8
661;"RODABALLO (turbot)";51;9409.4
658;"GALLO (John dory)";58.4;9115.6
2025;"CIGALA TRONCO 0,25 KG";114.12;8898.6
22;"GAMBA AJILLO";290;8656
29;"ALMEJAS BRASA";210;8538.6
10;"CECINA DE WAGYU";375;8485.2
1497;"ALMEJA PUTANESCA";199;8454.8
1163;"SASHIMI SIRVIA";348;8065.9
361;"VARIOS COMIDA";156.38;7972.75
321;"RUBIA GALLEGA";358;7737.3
38;"LECHUGA FRESCA";781;7617
1699;"LUBINA 1,2 KG";50;7571.2
372;"OSTRAS AL NATURAL";839;7146.9
1389;"Chateau Saint Maur Excellence 2022 - Garnacha Tinta, Syrah, Cinsault, Monastrell (A.O.C. Provence)";77;6750
777;"SALPICÓN RAYA";355;6643.35
1165;"ENSALADA PAYESA";377.5;6593.4
2;"OSTRAS BLOODY MARY";613;6592.3
23;"ESPARDEÑA AJILLO";164;6434.4
1925;"CIGALA TRONCO 0,225KG";93.3;6403.2
1675;"LENGUADO 1,3 KG";37;6202.3
1200;"Billecart-Salmon Rosé - Brut";27;5874
426;"Bombones";756.65;5684
664;"ROTJA (scorpion fish)";39.9;5619.9
693;"EXCELLENCE ROSADO COPA";438;5482.1
536;"TORTILLA VAGA";235;5389.8
41;"PIMIENTOS DEL PADRON";687.5;5388
198;"COCA COLA ZERO";1082;5363.55
